Area / Tank,Category,Equipment,Tag No,Parameter Key,Parameter Display Name,Unit,Proposed Normal Limit,Proposed Warning Limit,Proposed Alarm Limit,Final Normal Limit,Final Warning Limit,Final Alarm Limit,Approved By,Reviewed By User Department,Approval Date,Remarks
A Tank,Blowers,Cooling Blower-15,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Cooling Blower-15,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-15,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-15,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-15,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Cooling Blower-15,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-15,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-15,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-15,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Cooling Blower-15,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-15,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-15,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-15,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Cooling Blower-15,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-15,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-15,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-16,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Cooling Blower-16,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-16,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-16,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-16,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Cooling Blower-16,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-16,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-16,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-16,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Cooling Blower-16,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-16,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-16,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-16,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Cooling Blower-16,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-16,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Cooling Blower-16,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-1,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Gas Blower-1,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-1,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-1,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-1,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Gas Blower-1,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-1,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-1,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-1,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Gas Blower-1,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-1,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-1,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-1,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Gas Blower-1,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-1,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-1,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-2,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Gas Blower-2,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-2,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-2,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-2,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Gas Blower-2,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-2,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-2,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-2,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Gas Blower-2,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-2,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-2,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-2,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Gas Blower-2,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-2,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Gas Blower-2,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-1,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,MCB-1,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-1,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-1,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-1,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,MCB-1,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-1,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-1,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-1,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,MCB-1,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-1,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-1,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-1,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,MCB-1,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-1,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-1,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-2,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,MCB-2,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-2,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-2,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-2,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,MCB-2,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-2,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-2,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-2,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,MCB-2,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-2,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-2,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-2,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,MCB-2,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-2,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-2,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-3,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,MCB-3,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-3,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-3,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-3,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,MCB-3,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-3,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-3,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-3,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,MCB-3,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-3,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-3,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-3,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,MCB-3,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-3,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,MCB-3,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-7,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Tank Cooling Blower-8,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-11,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,blower_de_temperature,Blower DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,blower_drive_end_axial,Blower Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,blower_drive_end_horizontal,Blower Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,blower_drive_end_vertical,Blower Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,blower_nde_temperature,Blower NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,blower_non_drive_end_axial,Blower Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,blower_non_drive_end_horizontal,Blower Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,blower_non_drive_end_vertical,Blower Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,motor_de_temperature,Motor DE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,motor_drive_end_axial,Motor Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,motor_drive_end_horizontal,Motor Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,motor_drive_end_vertical,Motor Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,motor_nde_temperature,Motor NDE Temperature,°C,60,75,75,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,motor_non_drive_end_axial,Motor Non Drive End Axial Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,motor_non_drive_end_horizontal,Motor Non Drive End Horizontal Vibration,mm/s,6,10,10,,,,,,,
A Tank,Blowers,Throat Cool Blower-12,,motor_non_drive_end_vertical,Motor Non Drive End Vertical Vibration,mm/s,6,10,10,,,,,,,
A Tank,Cooling Tower Water Monitoring,A Tank CT,,tds,TDS,ppm,,,,,,,,,,
